,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Macebell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Curtsy Lunge,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
,Plate Overhead Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Sandbag Front Rack Curtsy Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Sandbag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Clubbell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Ring Archer Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Alternating,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
,Barbell Single Leg Bent Knee Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Bodyweight Freestanding Handstand ,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
,Bodyweight Wall Eccentric Straddle Press Handstand,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Kettlebell Horn Grip Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,Walking,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Kettlebell Goblet Carry,,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Dumbbell Goblet Carry,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Single Arm Ring Feet Elevated Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,1,Bench (Flat),1,Supine,Single Arm,Continuous,Neutral,No Load,Continuous,Feet Elevated,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
,Double Kettlebell Dead Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Kettlebell Dead Half Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Alternating Single Arm Kettlebell Dead Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Alternating Single Arm Kettlebell Start Stop Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Single Arm Kettlebell Start Stop Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Double Kettlebell Start Stop Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Alternating Single Arm Kettlebell Start Stop Swing,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Double Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Ring L Sit Pull Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Suspension Skater Jump,Video Demonstration,,Intermediate,Abductors,Gluteus Medius,Adductor Magnus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
,Double Kettlebell Start Stop Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Kettlebell Start Stop Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Alternating Single Arm Kettlebell Start Stop Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Clubbell Staggered Stance Rotational Swing,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Clubbell Staggered Stance Rotational Clean,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Clubbell Staggered Stance Rotational Clean to Forward Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Clubbell,1,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
,Ring Bulgarian Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Ring Bulgarian L Sit Pull Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Single Arm Landmine Split Snatch,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Landmine,1,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
,Double Dumbbell Hang Power Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Barbell Bicep Curl,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Ring False Grip Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Slider Kettlebell Goblet Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Ring Feet Elevated Pike Push Up,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,Bench (Flat),1,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,Feet Elevated,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Single Arm Landmine Split Clean,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Landmine,1,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Other,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
,Double Dumbbell Squat Clean,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Double Dumbbell Hang Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Landmine Split Jerk,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Other,Alternating,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
,Single Arm Kettlebell Ipsilateral Forward Lunge Snatch,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Ipsilateral,Ballistics
,Clubbell Hammer Swing,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Clubbell Hammer Swing,,,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Double Clubbell Hammer Swing,,,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Ring Tuck Back Lever with Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics
,Ring Tuck Front Lever with Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Calisthenics
,Barbell Split Clean,Video Demonstration,Video Explanation,Expert,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Barbell,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Olympic Weightlifting 
,Double Dumbbell Hang Split Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Ring Archer Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
,Wall Ball Half Kneeling Lateral Toss,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Wall Ball,1,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Wall Ball Isometric Split Squat Lateral Toss,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Quadriceps Femoris,Wall Ball,1,None,0,Isometric Split Squat,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,Isometric Hold,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Superband Assisted Bar Muscle Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Triceps Brachii,,Superband,1,Pull Up Bar,1,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics
,Parallette Push Up to L Sit,Video Demonstration,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Single Arm Barbell Bent Press,,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Grinds
,Single Arm Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Alternating Double Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Bottoms Up Seesaw Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Half Kneeling Half Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Ring Alternating Reach Push Up,,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Gymnastic Rings,2,None,0,Prone,Double Arm,Alternating,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Double Kettlebell Outside Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Single Arm Kettlebell Outside Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Single Arm Kettlebell Outside Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Ring L Sit Dips,Video Demonstration,,Advanced,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
,Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
,Single Ring Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Contralateral,Balance
,Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Ipsilateral,Balance
